Date,Description,Amount,Category,PaymentMethod,Location,AccountType,TransactionType,DeviceUsed,Currency,MerchantType,LoyaltyProgram,Weekday,Month,TimeOfDay
2025-04-05,Transaction at IRCTC,20666.49,Travell_err,Debit Card,Kolkata,Salary,Debit,Mobile,INR,Service,No,Saturday,April,Night
2025-12-06,Transaction at Myntra,1919.05,Online Shopping,Net Banking,Hyderabad,Salary,Debit,Desktop,INR,Online Store,Yes,Saturday,December,Evening
2025-06-20,Transaction at BigBazaar,,Grocerie$,Debit Card,Bangalore,Savings,Debit,Mobile,INR,Retail,No,Friday,June,Evening
2025-04-23,Transaction at Property Tax Online,1071.04,Biills,Net Banking,Delhi,Current,Debit,POS Terminal,INR,Service,Yes,Wednesday,April,Afternoon
2025-03-06,Transaction at Asus Store,10722.8,Electronics,Debit Card,Mumbai,Current,Debit,Mobile,INR,Retail,Yes,Thursday,March,Evening
2025-10-30,Transaction at Max Fashion,3502.77,Clothing,Debit Card,Bangalore,Savings,Debit,POS Terminal,INR,Retail,No,Thursday,October,Morning
2025-06-11,Transaction at Property Tax Online,5334.34,Biills,Credit Card,Pune,Current,Debit,Desktop,INR,Service,Yes,Wednesday,June,Morning
2025-01-03,Transaction at Airtel,1472.58,Biills,UPI,Mumbai,Salary,Debit,Desktop,INR,Service,Yes,Friday,January,Morning
2025-07-27,Transaction at Wrogn,1965.86,Clothing,Credit Card,Delhi,Current,Debit,POS Terminal,INR,Retail,No,Sunday,July,Afternoon
2025-08-16,Transaction at Aha,250.69,Entertainment,Credit Card,Chennai,Salary,Debit,POS Terminal,INR,Subscription,No,Saturday,August,Morning
2025-03-04,Transaction at Airtel,3989.88,Biills,Debit Card,Bangalore,Savings,Debit,Desktop,INR,Service,Yes,Tuesday,March,Evening
2025-06-23,Transaction at Cream Stone,525.94,Food,Credit Card,Mumbai,Savings,Debit,POS Terminal,INR,Restaurant,Yes,Monday,June,Afternoon
2025-06-24,Transaction at Cream Stone,393.35,Food,UPI,Kolkata,Salary,Debit,Desktop,INR,Restaurant,No,Tuesday,June,Afternoon
2025-05-10,Transaction at IndiGo,24147.34,Travell_err,Net Banking,Hyderabad,Current,Debit,Mobile,INR,Service,No,Saturday,May,Evening
2025-07-28,Transaction at Nilgiris,1295.25,Grocerie$,UPI,Mumbai,Savings,Debit,POS Terminal,INR,Retail,No,Monday,July,Morning
2025-04-26,Transaction at TSRTC,1287.28,Transport,UPI,Delhi,Current,Debit,POS Terminal,INR,Service,Yes,Saturday,April,Evening
2025-02-11,Transaction at Metro Rail,723.54,Transport,Debit Card,Chennai,Credit Card,Debit,Desktop,INR,Service,Yes,Tuesday,February,Morning
