,monthly_income,monthly_expense_total,savings_rate,budget_goal,credit_score,debt_to_income_ratio,loan_payment,investment_amount,emergency_fund,transaction_count,discretionary_spending,essential_spending,rent_or_mortgage,actual_savings,savings_goal_met
monthly_income,1.0,0.0038385069281635406,0.005346860658893681,-0.019098183403949597,-0.007339947821073863,-0.005136246317860617,-0.005822265906444234,-0.042183937721888866,0.015897058795842526,0.023972284294423177,-0.009299145772767725,-0.017258952536448224,-0.019926355156075635,0.738624164476262,0.4383925897216162
monthly_expense_total,0.0038385069281635406,1.0,0.0005153570001887755,-0.02651706598264576,0.03459603155884123,-0.01878295453324514,0.007962187493864232,-0.032846729195261236,0.005241286400668551,0.013037866988359726,-0.007343540669592376,0.0030113015897307383,0.02634315588392863,-0.5996794461774996,-0.3070656197178689
savings_rate,0.005346860658893681,0.0005153570001887755,1.0,-0.012003670374606085,-0.007459434544459206,-0.03395421799560531,-0.0013058206682331633,-0.020893531929546582,0.025650021813789853,-0.0007434712598386181,-0.03365881877652428,0.008292755901786809,0.014865407258805722,0.004968164039162821,-0.01332396918329629
budget_goal,-0.019098183403949597,-0.02651706598264576,-0.012003670374606085,1.0,-0.015371263184149006,-0.0033270773117176763,-0.015594872927904723,-0.0030454937357443056,-0.012099911768322029,0.005329673383431763,-0.001726935588461272,-0.000409565893481675,0.024765392825337525,0.0011848140287226401,-0.21699623110451563
credit_score,-0.007339947821073863,0.03459603155884123,-0.007459434544459206,-0.015371263184149006,1.0,0.003136907415797109,-0.014168610661906883,-0.0182973294060484,-0.005795458030116725,-0.00626766430558134,0.023788274206839998,0.005428878216564984,-0.014998827940288003,-0.02296046853248078,-0.008245624092998541
debt_to_income_ratio,-0.005136246317860617,-0.01878295453324514,-0.03395421799560531,-0.0033270773117176763,0.003136907415797109,1.0,-0.0027706995252298984,0.020431480381234962,-0.02737221618679266,0.01603332464443159,-0.01651842292223723,-0.02571149948348779,-0.012404745283839875,0.004657352410679646,0.01195665772866337
loan_payment,-0.005822265906444234,0.007962187493864232,-0.0013058206682331633,-0.015594872927904723,-0.014168610661906883,-0.0027706995252298984,1.0,7.70891145725428e-05,0.00570594822410148,0.010258242175790043,-0.023877717860085405,0.00792279510343035,-0.019200529929831157,-0.006557038093504109,-0.01100250390441857
investment_amount,-0.042183937721888866,-0.032846729195261236,-0.020893531929546582,-0.0030454937357443056,-0.0182973294060484,0.020431480381234962,7.70891145725428e-05,1.0,-0.040184138153043954,0.012399862386464205,0.026615303390766027,-0.011257884086863078,0.007032349717962534,-0.022188591148184993,-0.009729679830528911
emergency_fund,0.015897058795842526,0.005241286400668551,0.025650021813789853,-0.012099911768322029,-0.005795458030116725,-0.02737221618679266,0.00570594822410148,-0.040184138153043954,1.0,0.008301969060036342,0.03454493963257796,-0.003747763576452787,-0.011055498674309138,0.009431426243139864,0.018025928651244232
transaction_count,0.023972284294423177,0.013037866988359726,-0.0007434712598386181,0.005329673383431763,-0.00626766430558134,0.01603332464443159,0.010258242175790043,0.012399862386464205,0.008301969060036342,1.0,0.009316833379271066,0.013464591839126908,-0.002868496117513666,0.007946424248824524,-0.0074588449474569255
discretionary_spending,-0.009299145772767725,-0.007343540669592376,-0.03365881877652428,-0.001726935588461272,0.023788274206839998,-0.01651842292223723,-0.023877717860085405,0.026615303390766027,0.03454493963257796,0.009316833379271066,1.0,-0.01799962092542909,0.018093193867963573,-0.005647149923578311,0.008879007824782587
essential_spending,-0.017258952536448224,0.0030113015897307383,0.008292755901786809,-0.000409565893481675,0.005428878216564984,-0.02571149948348779,0.00792279510343035,-0.011257884086863078,-0.003747763576452787,0.013464591839126908,-0.01799962092542909,1.0,0.011503191578415057,-0.00827561328323879,0.0032723974493322453
rent_or_mortgage,-0.019926355156075635,0.02634315588392863,0.014865407258805722,0.024765392825337525,-0.014998827940288003,-0.012404745283839875,-0.019200529929831157,0.007032349717962534,-0.011055498674309138,-0.002868496117513666,0.018093193867963573,0.011503191578415057,1.0,-0.01437987996756816,-0.027896905399175043
actual_savings,0.738624164476262,-0.5996794461774996,0.004968164039162821,0.0011848140287226401,-0.02296046853248078,0.004657352410679646,-0.006557038093504109,-0.022188591148184993,0.009431426243139864,0.007946424248824524,-0.005647149923578311,-0.00827561328323879,-0.01437987996756816,1.0,0.6053329258478548
savings_goal_met,0.4383925897216162,-0.3070656197178689,-0.01332396918329629,-0.21699623110451563,-0.008245624092998541,0.01195665772866337,-0.01100250390441857,-0.009729679830528911,0.018025928651244232,-0.0074588449474569255,0.008879007824782587,0.0032723974493322453,-0.027896905399175043,0.6053329258478548,1.0
