date_time,category,account,amount,currency,tags
2025-11-29,Job,acct_1,49.0,BYN,tag_1
2025-11-29,Job,acct_1,18.0,BYN,tag_2
2025-11-29,Job,acct_1,32.0,BYN,tag_3
2025-11-29,Job,acct_1,109.0,BYN,tag_4
2025-11-28,Second work,acct_1,132.0,BYN,2th_work
2025-11-25,Debt return / Borrowed money,acct_1,49.0,BYN,tag_5
2025-11-25,Job,acct_1,18.0,BYN,tag_1
2025-11-22,Job,acct_1,44.0,BYN,tag_1
2025-11-22,Job,acct_1,10.0,BYN,tag_2
2025-11-22,Job,acct_1,11.0,BYN,tag_3
2025-11-20,Job,acct_1,36.0,BYN,tag_4
2025-11-18,Job,acct_1,17.0,BYN,tag_1
2025-11-15,Job,acct_1,49.0,BYN,tag_2
2025-11-15,Job,acct_1,19.0,BYN,tag_1
2025-11-15,Job,acct_1,31.0,BYN,tag_3
2025-11-15,Debt return / Borrowed money,acct_2,17.0,BYN,tag_5
2025-11-13,Job,acct_1,31.0,BYN,tag_4
2025-11-11,Job,acct_1,17.0,BYN,tag_1
2025-11-11,Job,acct_1,76.0,BYN,tag_4
2025-11-09,Second work,acct_1,133.0,BYN,2th_work
2025-11-08,Job,acct_1,49.0,BYN,tag_2
2025-11-08,Job,acct_1,10.0,BYN,tag_1
2025-11-08,Job,acct_1,38.0,BYN,tag_3
2025-11-07,Gift,acct_1,178.0,BYN,tag_5
2025-11-07,Gift,acct_1,16.0,BYN,tag_5
2025-11-04,Gift,acct_2,36.0,BYN,tag_5
2025-11-01,Job,acct_1,28.0,BYN,tag_3
2025-10-28,Gift,acct_1,36.0,BYN,tag_5
2025-10-28,Job,acct_1,23.0,BYN,tag_2
2025-10-28,Job,acct_1,75.0,BYN,tag_1
2025-10-26,Job,acct_1,42.0,BYN,tag_2
2025-10-26,Job,acct_1,12.0,BYN,tag_1
2025-10-25,Second work,acct_1,371.0,BYN,2th_work
2025-10-25,Job,acct_1,29.0,BYN,tag_3
2025-10-21,Job,acct_1,33.0,BYN,tag_1
2025-10-20,Debt return / Borrowed money,acct_1,1345.0,BYN,tag_5
2025-10-20,Job,acct_1,67.0,BYN,tag_4
2025-10-20,Gift,acct_3,13.0,BYN,tag_5
2025-10-18,Job,acct_1,27.0,BYN,tag_2
2025-10-18,Job,acct_1,14.0,BYN,tag_1
2025-10-18,Job,acct_1,10.0,BYN,tag_3
2025-10-17,Gift,acct_1,197.0,BYN,tag_5
2025-10-15,Job,acct_1,22.0,BYN,tag_4
2025-10-15,Second work,acct_1,178.0,BYN,2th_work
2025-10-14,Job,acct_1,13.0,BYN,tag_1
2025-10-12,Job,acct_1,36.0,BYN,tag_3
2025-10-11,Job,acct_1,39.0,BYN,tag_1
2025-10-11,Job,acct_1,9.0,BYN,tag_2
2025-10-11,Gift,acct_1,11.0,BYN,tag_5
2025-10-10,Job,acct_1,22.0,BYN,tag_4
2025-10-10,Job,acct_1,98.0,BYN,tag_6
2025-10-07,Job,acct_1,11.0,BYN,tag_1
2025-10-05,Debt return / Borrowed money,acct_1,25.0,BYN,tag_5
2025-10-04,Job,acct_1,25.0,BYN,tag_1
2025-10-04,Job,acct_1,38.0,BYN,tag_2
2025-10-04,Job,acct_1,45.0,BYN,tag_3
2025-10-04,Gift,acct_2,7.0,BYN,tag_5
2025-10-04,Job,acct_1,31.0,BYN,tag_1
2025-09-28,Job,acct_1,93.0,BYN,tag_7
2025-09-28,Second work,acct_2,71.0,BYN,2th_work
2025-09-28,Second work,acct_1,117.0,BYN,2th_work
2025-09-27,Gift,acct_1,1140.0,BYN,tag_5
2025-09-27,Job,acct_1,49.0,BYN,tag_2
2025-09-27,Job,acct_1,36.0,BYN,tag_1
2025-09-27,Job,acct_1,20.0,BYN,tag_3
2025-09-27,Cashback,acct_1,7.0,BYN,tag_5
2025-09-27,Gift,acct_2,58.0,BYN,tag_5
2025-09-25,Gift,acct_1,79.0,BYN,tag_5
2025-09-25,Gift,acct_1,678.0,BYN,tag_5
2025-09-24,Job,acct_1,60.0,BYN,tag_4
2025-09-24,Job,acct_1,53.0,BYN,tag_6
2025-09-23,Job,acct_1,17.0,BYN,tag_1
2025-09-23,Job,acct_1,1506.0,BYN,tag_5
